respondent,degree,strength,betweenness,closeness,eigenvector,pagerank,clustering,core_number,mean_response,response_std
110,18,5.164812009456089,0.07715458276333789,0.669772725895696,0.3505175763323376,0.026152011664438285,0.23529411764705882,5,1.6833333333333333,0.7700245795475258
90,16,4.366523549970066,0.09466484268125855,0.6591402487902628,0.16760124618185598,0.0238458149443467,0.125,5,0.9166666666666666,0.7874366623260187
57,14,4.227702188058564,0.058549931600547195,0.6251420098431291,0.2745322316393775,0.022139813946796972,0.23076923076923078,5,1.1833333333333333,1.268813227252032
91,12,3.6791738405177097,0.047606019151846785,0.6177450171427503,0.10261848346369948,0.01992526513770191,0.21212121212121213,5,0.8333333333333334,0.41849879681768937
104,12,3.71031692652489,0.027086183310533515,0.6000094687756,0.2740641983242118,0.018730764186532606,0.2878787878787879,5,1.3666666666666667,0.9560984749414215
101,12,3.30030923181255,0.05170998632010944,0.6022991609065683,0.07931338645955807,0.01917391966046735,0.19696969696969696,4,1.35,0.5771055773925833
94,11,3.1811569293073245,0.038577291381668946,0.6266596974019647,0.1992631804364266,0.017002859725691526,0.2727272727272727,5,1.75,0.6796060673505359
114,11,3.2867253174277087,0.03146374829001368,0.5885854947377405,0.17240017838806976,0.017416028678996352,0.2545454545454545,5,1.5333333333333334,0.8530437361701969
49,11,3.4908112146492205,0.01997264021887825,0.5892822780579597,0.26672043241506976,0.018004546199970224,0.3090909090909091,5,1.3,0.961989463982616
93,10,2.534494330909281,0.03529411764705882,0.6035207459348998,0.09235931468051459,0.014401058929635615,0.15555555555555556,5,0.7,0.961989463982616
29,10,2.4045203668116697,0.0213406292749658,0.5929784465233955,0.13806204080010856,0.013482008295459456,0.17777777777777778,5,1.4666666666666666,0.982329756961699
52,10,2.6296969453373666,0.028454172366621067,0.5731281822592386,0.05582476513457798,0.015659863453644906,0.15555555555555556,4,1.45,0.768555766422772
